YEAR,LocationAbbr,TopicDesc,MeasureDesc,Smoke_Rate,Data_Value_Std_Err,Sample_Size,Gender,Education,GeoLocation
1999,AR,Cigarette Use (Youth),Smoking Status,61,5.5,192,Male,Middle School,"(34.748650124, -92.274490743)"
1999,AR,Cigarette Use (Youth),Smoking Status,60.2,3.7,400,Overall,Middle School,"(34.748650124, -92.274490743)"
1999,AR,Cigarette Use (Youth),Smoking Status,59.4,3,208,Female,Middle School,"(34.748650124, -92.274490743)"
1999,AR,Cigarette Use (Youth),Smoking Status,71.9,2.6,929,Overall,High School,"(34.748650124, -92.274490743)"
1999,AR,Cigarette Use (Youth),Smoking Status,70,3.7,433,Female,High School,"(34.748650124, -92.274490743)"
1999,AR,Cigarette Use (Youth),Smoking Status,73.8,2.4,494,Male,High School,"(34.748650124, -92.274490743)"
1999,AR,Smokeless Tobacco Use (Youth),User Status,14.7,2.7,212,Female,Middle School,"(34.748650124, -92.274490743)"
1999,AR,Smokeless Tobacco Use (Youth),User Status,39.3,3.3,194,Male,Middle School,"(34.748650124, -92.274490743)"
1999,AR,Smokeless Tobacco Use (Youth),User Status,14.1,1.8,944,Overall,High School,"(34.748650124, -92.274490743)"
1999,AR,Smokeless Tobacco Use (Youth),User Status,27.3,2.4,406,Overall,Middle School,"(34.748650124, -92.274490743)"
1999,AR,Smokeless Tobacco Use (Youth),User Status,3,1.4,202,Male,Middle School,"(34.748650124, -92.274490743)"
1999,AR,Smokeless Tobacco Use (Youth),User Status,8.9,2,498,Male,High School,"(34.748650124, -92.274490743)"
1999,AR,Smokeless Tobacco Use (Youth),User Status,3.6,1,444,Female,High School,"(34.748650124, -92.274490743)"
1999,AR,Smokeless Tobacco Use (Youth),User Status,1.8,0.5,413,Overall,Middle School,"(34.748650124, -92.274490743)"
1999,AR,Smokeless Tobacco Use (Youth),User Status,10.4,2.2,434,Female,High School,"(34.748650124, -92.274490743)"
1999,AR,Smokeless Tobacco Use (Youth),User Status,27,2.6,917,Overall,High School,"(34.748650124, -92.274490743)"
1999,AR,Smokeless Tobacco Use (Youth),User Status,43.7,3.3,481,Male,High School,"(34.748650124, -92.274490743)"
1999,AR,Smokeless Tobacco Use (Youth),User Status,4.8,1.1,944,Overall,High School,"(34.748650124, -92.274490743)"
1999,AR,Smokeless Tobacco Use (Youth),User Status,0.5,0.5,211,Female,Middle School,"(34.748650124, -92.274490743)"
1999,AR,Smokeless Tobacco Use (Youth),User Status,19.6,2.2,202,Male,Middle School,"(34.748650124, -92.274490743)"
1999,AR,Smokeless Tobacco Use (Youth),User Status,3.8,1.9,211,Female,Middle School,"(34.748650124, -92.274490743)"
1999,AR,Smokeless Tobacco Use (Youth),User Status,12,1.7,413,Overall,Middle School,"(34.748650124, -92.274490743)"
1999,AR,Smokeless Tobacco Use (Youth),User Status,24.4,3.2,498,Male,High School,"(34.748650124, -92.274490743)"
1999,AR,Smokeless Tobacco Use (Youth),User Status,0.7,0.5,444,Female,High School,"(34.748650124, -92.274490743)"
1999,GA,Cessation (Youth),Percent of Current Smokers Who Want to Quit,52.1,4.8,156,Overall,Middle School,"(32.839681093, -83.627580346)"
1999,GA,Cessation (Youth),Percent of Current Smokers Who Want to Quit,45.8,7.2,81,Male,Middle School,"(32.839681093, -83.627580346)"
1999,GA,Cessation (Youth),Percent of Current Smokers Who Want to Quit,59.2,5.8,75,Female,Middle School,"(32.839681093, -83.627580346)"
1999,GA,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,47.3,7.3,79,Male,Middle School,"(32.839681093, -83.627580346)"
1999,GA,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,56.3,9,84,Female,Middle School,"(32.839681093, -83.627580346)"
1999,GA,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,51.9,7.1,163,Overall,Middle School,"(32.839681093, -83.627580346)"
1999,GA,Cigarette Use (Youth),Smoking Status,3.5,0.8,641,Female,Middle School,"(32.839681093, -83.627580346)"
1999,GA,Cigarette Use (Youth),Smoking Status,51,2.4,613,Male,Middle School,"(32.839681093, -83.627580346)"
1999,GA,Cigarette Use (Youth),Smoking Status,4.3,1.6,594,Male,Middle School,"(32.839681093, -83.627580346)"
1999,GA,Cigarette Use (Youth),Smoking Status,3.9,1,1237,Overall,Middle School,"(32.839681093, -83.627580346)"
1999,GA,Cigarette Use (Youth),Smoking Status,49.4,2,1243,Overall,Middle School,"(32.839681093, -83.627580346)"
1999,GA,Cigarette Use (Youth),Smoking Status,13.6,1.9,641,Female,Middle School,"(32.839681093, -83.627580346)"
1999,GA,Cigarette Use (Youth),Smoking Status,47.3,2.8,627,Female,Middle School,"(32.839681093, -83.627580346)"
1999,GA,Cigarette Use (Youth),Smoking Status,13.8,1.7,1237,Overall,Middle School,"(32.839681093, -83.627580346)"
1999,GA,Cigarette Use (Youth),Smoking Status,13.9,2.1,594,Male,Middle School,"(32.839681093, -83.627580346)"
1999,GA,Smokeless Tobacco Use (Youth),User Status,4.4,1,1295,Overall,Middle School,"(32.839681093, -83.627580346)"
1999,GA,Smokeless Tobacco Use (Youth),User Status,12.3,1.3,1282,Overall,Middle School,"(32.839681093, -83.627580346)"
1999,GA,Smokeless Tobacco Use (Youth),User Status,0.6,0.4,663,Female,Middle School,"(32.839681093, -83.627580346)"
1999,GA,Smokeless Tobacco Use (Youth),User Status,6.3,1.2,656,Female,Middle School,"(32.839681093, -83.627580346)"
1999,GA,Smokeless Tobacco Use (Youth),User Status,6.7,1.6,629,Male,Middle School,"(32.839681093, -83.627580346)"
1999,GA,Smokeless Tobacco Use (Youth),User Status,1.6,0.7,663,Female,Middle School,"(32.839681093, -83.627580346)"
1999,GA,Smokeless Tobacco Use (Youth),User Status,0.9,0.3,1295,Overall,Middle School,"(32.839681093, -83.627580346)"
1999,GA,Smokeless Tobacco Use (Youth),User Status,1.1,0.5,629,Male,Middle School,"(32.839681093, -83.627580346)"
1999,GA,Smokeless Tobacco Use (Youth),User Status,17.6,2,624,Male,Middle School,"(32.839681093, -83.627580346)"
1999,KS,Cessation (Youth),Percent of Current Smokers Who Want to Quit,43.3,5.6,63,Female,Middle School,"(38.3477403, -98.200781227)"
1999,KS,Cessation (Youth),Percent of Current Smokers Who Want to Quit,36.3,6.6,71,Male,Middle School,"(38.3477403, -98.200781227)"
1999,KS,Cessation (Youth),Percent of Current Smokers Who Want to Quit,39.3,3.7,135,Overall,Middle School,"(38.3477403, -98.200781227)"
1999,KS,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,48.6,2.9,158,Overall,Middle School,"(38.3477403, -98.200781227)"
1999,KS,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,53.6,5.4,72,Female,Middle School,"(38.3477403, -98.200781227)"
1999,KS,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,45.4,4.3,84,Male,Middle School,"(38.3477403, -98.200781227)"
1999,KS,Cigarette Use (Youth),Smoking Status,16.6,3.1,581,Male,Middle School,"(38.3477403, -98.200781227)"
1999,KS,Cigarette Use (Youth),Smoking Status,41.3,3.4,1094,Overall,Middle School,"(38.3477403, -98.200781227)"
1999,KS,Cigarette Use (Youth),Smoking Status,5.3,1.1,1139,Overall,Middle School,"(38.3477403, -98.200781227)"
1999,KS,Cigarette Use (Youth),Smoking Status,15.2,2.9,554,Female,Middle School,"(38.3477403, -98.200781227)"
1999,KS,Cigarette Use (Youth),Smoking Status,42.8,4.4,551,Male,Middle School,"(38.3477403, -98.200781227)"
1999,KS,Cigarette Use (Youth),Smoking Status,39.7,3.8,541,Female,Middle School,"(38.3477403, -98.200781227)"
1999,KS,Cigarette Use (Youth),Smoking Status,16.1,2.8,1139,Overall,Middle School,"(38.3477403, -98.200781227)"
